smiles_monomer,pm,distribution,ref,comment,mechanism,Mn,Mv,Mw,PDI,Tc,Td,Tg,Tm,density,elongation to break,elongation_at_break,flexural_strength,modulus,modulus_of_elasticity,notched_strength,set,tensile modulus,tensile strength,tensile stress relaxation,tensile_strength,unnotched_strength,yield_elongation,yield_strength,monomers,data_id
C=CCl,0.44,[],"Mijangos, C., Mart√≠nez, G., & Mill√°n, J.-L. (1988). Dependence of glass‚Äêtransition temperature Tg on tacticity of poly(vinyl chloride). A preliminary study by differential scanning calorimetry. Die Makromolekulare Chemie, 189(3), 567‚Äì572. https://doi.org/10.1002/macp.1988.021890310",Table 1.3,vinyl_stereo,27900,,,,,,87.1,,,,,,,,,,,,,,,,,"('C=CCl',)",213
C=CCl,0.44,[],"Mijangos, C., Mart√≠nez, G., & Mill√°n, J.-L. (1988). Dependence of glass‚Äêtransition temperature Tg on tacticity of poly(vinyl chloride). A preliminary study by differential scanning calorimetry. Die Makromolekulare Chemie, 189(3), 567‚Äì572. https://doi.org/10.1002/macp.1988.021890310",Table 1.5,vinyl_stereo,38900,,,,,,84,,,,,,,,,,,,,,,,,"('C=CCl',)",214
C=CCl,0.45,[],"Mijangos, C., Mart√≠nez, G., & Mill√°n, J.-L. (1988). Dependence of glass‚Äêtransition temperature Tg on tacticity of poly(vinyl chloride). A preliminary study by differential scanning calorimetry. Die Makromolekulare Chemie, 189(3), 567‚Äì572. https://doi.org/10.1002/macp.1988.021890310",Table 1.4,vinyl_stereo,24800,,,,,,82,,,,,,,,,,,,,,,,,"('C=CCl',)",215
C=CCl,0.46,[],"Mijangos, C., Mart√≠nez, G., & Mill√°n, J.-L. (1988). Dependence of glass‚Äêtransition temperature Tg on tacticity of poly(vinyl chloride). A preliminary study by differential scanning calorimetry. Die Makromolekulare Chemie, 189(3), 567‚Äì572. https://doi.org/10.1002/macp.1988.021890310",Table 1.1,vinyl_stereo,21500,,,,,,78.8,,,,,,,,,,,,,,,,,"('C=CCl',)",216
C=CCl,0.46,[],"Mijangos, C., Mart√≠nez, G., & Mill√°n, J.-L. (1988). Dependence of glass‚Äêtransition temperature Tg on tacticity of poly(vinyl chloride). A preliminary study by differential scanning calorimetry. Die Makromolekulare Chemie, 189(3), 567‚Äì572. https://doi.org/10.1002/macp.1988.021890310",Table 1.19,vinyl_stereo,44000,,,,,,82.1,,,,,,,,,,,,,,,,,"('C=CCl',)",217
C=CN1CCCC1=O,0.37,[],"Wan, D., Satoh, K., Kamigaito, M., & Okamoto, Y. (2005). Xanthate-mediated radical polymerization of N-vinylpyrrolidone in fluoroalcohols for simultaneous control of molecular weight and tacticity. Macromolecules, 38(25), 10397‚Äì10405. https://doi.org/10.1021/ma0515230",Table 3.5,vinyl_stereo,56300,,144128,2.56,,,171,,,,,,,,,,,,,,,,,"('C=CN1CCCC1=O',)",218
C=CN1CCCC1=O,0.4,[],"Wan, D., Satoh, K., Kamigaito, M., & Okamoto, Y. (2005). Xanthate-mediated radical polymerization of N-vinylpyrrolidone in fluoroalcohols for simultaneous control of molecular weight and tacticity. Macromolecules, 38(25), 10397‚Äì10405. https://doi.org/10.1021/ma0515230",Table 3.4,vinyl_stereo,326800,,728764,2.23,,,176,,,,,,,,,,,,,,,,,"('C=CN1CCCC1=O',)",219
C=CN1CCCC1=O,0.44,[],"Wan, D., Satoh, K., Kamigaito, M., & Okamoto, Y. (2005). Xanthate-mediated radical polymerization of N-vinylpyrrolidone in fluoroalcohols for simultaneous control of molecular weight and tacticity. Macromolecules, 38(25), 10397‚Äì10405. https://doi.org/10.1021/ma0515230",Table 3.3,vinyl_stereo,247300,,613304,2.48,,,180,,,,,,,,,,,,,,,,,"('C=CN1CCCC1=O',)",220
C=CN1CCCC1=O,0.46,[],"Wan, D., Satoh, K., Kamigaito, M., & Okamoto, Y. (2005). Xanthate-mediated radical polymerization of N-vinylpyrrolidone in fluoroalcohols for simultaneous control of molecular weight and tacticity. Macromolecules, 38(25), 10397‚Äì10405. https://doi.org/10.1021/ma0515230",Table 3.1,vinyl_stereo,121200,,350268,2.89,,,180,,,,,,,,,,,,,,,,,"('C=CN1CCCC1=O',)",221
C=CN1CCCC1=O,0.46,[],"Wan, D., Satoh, K., Kamigaito, M., & Okamoto, Y. (2005). Xanthate-mediated radical polymerization of N-vinylpyrrolidone in fluoroalcohols for simultaneous control of molecular weight and tacticity. Macromolecules, 38(25), 10397‚Äì10405. https://doi.org/10.1021/ma0515230",Table 3.2,vinyl_stereo,92400,,310464,3.36,,,180,,,,,,,,,,,,,,,,,"('C=CN1CCCC1=O',)",222
C=CO,0.21,[],"Hong, X., Xu, Y., Zou, L., Li, Y. V., He, J., & Zhao, J. (2021). The effect of degree of polymerization on the structure and properties of polyvinyl alcohol fibers with high strength and high modulus. Journal of Applied Polymer Science, 138(10). https://doi.org/10.1002/app.49971","Table 3, PVA-2499",vinyl_stereo,77800,,144600,1.86,,240.2,,231.7,,,2.5,,,,,,,,,,,,,"('C=CO',)",223
C=CO,0.21,[],"Hong, X., Xu, Y., Zou, L., Li, Y. V., He, J., & Zhao, J. (2021). The effect of degree of polymerization on the structure and properties of polyvinyl alcohol fibers with high strength and high modulus. Journal of Applied Polymer Science, 138(10). https://doi.org/10.1002/app.49971","Table 3, PVA-2699",vinyl_stereo,159500,,88100,1.81,,240.9,,232.4,,,2.6,,,,,,,,,,,,,"('C=CO',)",224
C=CO,0.22,[],"Hong, X., Xu, Y., Zou, L., Li, Y. V., He, J., & Zhao, J. (2021). The effect of degree of polymerization on the structure and properties of polyvinyl alcohol fibers with high strength and high modulus. Journal of Applied Polymer Science, 138(10). https://doi.org/10.1002/app.49971","Table 3, PVA-2099",vinyl_stereo,69600,,137200,1.97,,220.1,,231.6,,,2.5,,,,,,,,,,,,,"('C=CO',)",225
C=CO,0.23,[],"Hong, X., Xu, Y., Zou, L., Li, Y. V., He, J., & Zhao, J. (2021). The effect of degree of polymerization on the structure and properties of polyvinyl alcohol fibers with high strength and high modulus. Journal of Applied Polymer Science, 138(10). https://doi.org/10.1002/app.49971","Table 3, PVA-1899",vinyl_stereo,51500,,100000,1.94,,217.2,,230.4,,,2.6,,,,,,,,,,,,,"('C=CO',)",226
C=CO,0.24,[],"Hong, X., Xu, Y., Zou, L., Li, Y. V., He, J., & Zhao, J. (2021). The effect of degree of polymerization on the structure and properties of polyvinyl alcohol fibers with high strength and high modulus. Journal of Applied Polymer Science, 138(10). https://doi.org/10.1002/app.49971","Table 3, PVA-3599",vinyl_stereo,183700,,101600,1.81,,245.3,,235.7,,,3.5,,,,,,,,,,,,,"('C=CO',)",227
C=CO.C=CC(=O)O,0.51,"[78.4,21.6]","Xu, J., McCarthy, S. P., & Gross, R. A. (1996). Racemic Œ±-methyl-Œ≤-propiolactone polymerization by organometallic catalyst systems. Macromolecules, 29(13), 4565‚Äì4571. https://doi.org/10.1021/ma951900g",Sample D,vinyl_stereo,,,,,,,,159,,,,,,,,,,,,,,,,"('C=CO', 'C=CC(=O)O')",228
C=CO.C=CC(=O)O,0.56,"[79.3,20.7]","Xu, J., McCarthy, S. P., & Gross, R. A. (1996). Racemic Œ±-methyl-Œ≤-propiolactone polymerization by organometallic catalyst systems. Macromolecules, 29(13), 4565‚Äì4571. https://doi.org/10.1021/ma951900g",Sample A,vinyl_stereo,,,,,,,,162,,,,,,,,,,,,,,,,"('C=CO', 'C=CC(=O)O')",229
C=COC(C)C,0.88,[],"Teator, A. J., & Leibfarth, F. A. (2019). Catalyst-controlled stereoselective cationic polymerization of vinyl ethers. Science, 363(6434), 1439‚Äì1443. https://doi.org/10.1126/science.aaw1703",Figure 3D2,vinyl_stereo,,,,,,,-14,14,,,,,,,,,,,,,,,,"('C=COC(C)C',)",230
C=COCC,0.92,[],"Teator, A. J., & Leibfarth, F. A. (2019). Catalyst-controlled stereoselective cationic polymerization of vinyl ethers. Science, 363(6434), 1439‚Äì1443. https://doi.org/10.1126/science.aaw1703",Figure 3D5,vinyl_stereo,,,,,,,-42,76,,,,,,,,,,,,,,,,"('C=COCC',)",231
C=COCC(C)C,0.93,[],"Teator, A. J., & Leibfarth, F. A. (2019). Catalyst-controlled stereoselective cationic polymerization of vinyl ethers. Science, 363(6434), 1439‚Äì1443. https://doi.org/10.1126/science.aaw1703",Figure 3D1,vinyl_stereo,,,,,,,-20,138,,,,,,,,,,,,,,,,"('C=COCC(C)C',)",232
C=COCCC,0.92,[],"Teator, A. J., & Leibfarth, F. A. (2019). Catalyst-controlled stereoselective cationic polymerization of vinyl ethers. Science, 363(6434), 1439‚Äì1443. https://doi.org/10.1126/science.aaw1703",Figure 3D4,vinyl_stereo,,,,,,,-48,73,,,,,,,,,,,,,,,,"('C=COCCC',)",233
C=COCCCC,0.93,[],"Teator, A. J., & Leibfarth, F. A. (2019). Catalyst-controlled stereoselective cationic polymerization of vinyl ethers. Science, 363(6434), 1439‚Äì1443. https://doi.org/10.1126/science.aaw1703",Figure 3D3,vinyl_stereo,,,,,,,-53,65,,,,,,,,,,,,,,,,"('C=COCCCC',)",234
C=Cc1c(F)cccc1OC,0,[],"Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 1.1,vinyl_stereo,2200,,2684,1.22,,,96.7,,,,,,,,,,,,,,,,,"('C=Cc1c(F)cccc1OC',)",235
C=Cc1c(F)cccc1OC,0,[],"Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 1.2,vinyl_stereo,49000,,59780,1.22,,,96.5,,,,,,,,,,,,,,,,,"('C=Cc1c(F)cccc1OC',)",236
C=Cc1c(F)cccc1OC,0.5,[],"Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 1.3,vinyl_stereo,29000,,30740,1.06,,,95.6,,,,,,,,,,,,,,,,,"('C=Cc1c(F)cccc1OC',)",237
C=Cc1c(F)cccc1OC,0.5,[],"Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 1.4,vinyl_stereo,47000,,53110,1.13,,,100.5,,,,,,,,,,,,,,,,,"('C=Cc1c(F)cccc1OC',)",238
C=Cc1c(F)cccc1OC.C=C,1,"[0.5, 0.5]","Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 2.7,vinyl_stereo,197000,,256000,1.3,,,42.1,,,,,,,,,,,,,,,,,"('C=Cc1c(F)cccc1OC', 'C=C')",239
C=Cc1cc(F)ccc1OC,0,[],"Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 1.5,vinyl_stereo,39000,,40200,1.03,,,86,,,,,,,,,,,,,,,,,"('C=Cc1cc(F)ccc1OC',)",240
C=Cc1cc(F)ccc1OC,0,[],"Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 1.6,vinyl_stereo,70000,,72800,1.04,,,87.7,,,,,,,,,,,,,,,,,"('C=Cc1cc(F)ccc1OC',)",241
C=Cc1cc(F)ccc1OC,1,[],"Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 1.7,vinyl_stereo,47000,,47500,1.01,,,90.8,290.9,,,,,,,,,,,,,,,,"('C=Cc1cc(F)ccc1OC',)",242
C=Cc1cc(F)ccc1OC.C=C,1,"[0.5, 0.5]","Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 2.8,vinyl_stereo,47000,,84600,1.8,,,40.9,,,,,,,,,,,,,,,,,"('C=Cc1cc(F)ccc1OC', 'C=C')",243
C=Cc1cc(F)ccc1OC.C=C,1,"[0.5, 0.5]","Wang, T., Wu, C., Wang, B., & Cui, D. (2021). Isospecific alternating copolymerization of unprotected polar styrenes and ethylene by the Cs symmetric scandium precursor via synergistic effects of two substituent groups. Giant, 7(May), 100061. https://doi.org/10.1016/j.giant.2021.100061",Table 2.9,vinyl_stereo,67000,,80400,1.2,,,41.1,,,,,,,,,,,,,,,,,"('C=Cc1cc(F)ccc1OC', 'C=C')",244
C=Cc1ccc(C#CCCCC)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.2,vinyl_stereo,12500,,19625,1.57,,,54,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#CCCCC)cc1',)",245
C=Cc1ccc(C#CCCCC)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.3,vinyl_stereo,34800,,67512,1.94,,,67,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#CCCCC)cc1',)",246
C=Cc1ccc(C#CCCCC)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.4,vinyl_stereo,4190,,19625,1.54,,,70,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#CCCCC)cc1',)",247
C=Cc1ccc(C#C[Si](C)(C)C)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.10,vinyl_stereo,21100,,40301,1.91,,,150,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1',)",248
C=Cc1ccc(C#C[Si](C)(C)C)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.12,vinyl_stereo,9500,,13680,1.44,,,145,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1',)",249
C=Cc1ccc(C#C[Si](C)(C)C)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.13,vinyl_stereo,68900,,112996,1.64,,,159,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1',)",250
C=Cc1ccc(C#C[Si](C)(C)C)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.14,vinyl_stereo,1800,,2574,1.43,,,150,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1',)",251
C=Cc1ccc(C#C[Si](C)(C)C)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.15,vinyl_stereo,114000,,113000,1.62,,,160,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1',)",252
C=Cc1ccc(C#C[Si](C)(C)C)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.16,vinyl_stereo,149000,,113000,1.68,,,158,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1',)",253
C=Cc1ccc(C#C[Si](C)(C)C)cc1.C=Cc1ccccc1,0,"[0.05, 0.95]","Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 2.1,vinyl_stereo,65700,,112347,1.71,,,110,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1', 'C=Cc1ccccc1')",254
C=Cc1ccc(C#C[Si](C)(C)C)cc1.C=Cc1ccccc1,0,"[0.1, 0.9]","Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 2.2,vinyl_stereo,75300,,133281,1.77,,,125,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1', 'C=Cc1ccccc1')",255
C=Cc1ccc(C#C[Si](C)(C)C)cc1.C=Cc1ccccc1,0,"[0.3, 0.7]","Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 2.3,vinyl_stereo,85000,,140250,1.65,,,132,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1', 'C=Cc1ccccc1')",256
C=Cc1ccc(C#C[Si](C)(C)C)cc1.C=Cc1ccccc1,0,"[0.5, 0.5]","Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 2.4,vinyl_stereo,83000,,136950,1.65,,,138,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1', 'C=Cc1ccccc1')",257
C=Cc1ccc(C#C[Si](C)(C)C)cc1.C=Cc1ccccc1,0,"[0.69, 0.31]","Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 2.5,vinyl_stereo,136000,,217600,1.6,,,153,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1', 'C=Cc1ccccc1')",258
C=Cc1ccc(C#C[Si](C)(C)C)cc1.C=Cc1ccccc1,0,"[0.89, 0.11]","Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 2.6,vinyl_stereo,138000,,227700,1.65,,,161,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#C[Si](C)(C)C)cc1', 'C=Cc1ccccc1')",259
C=Cc1ccc(C#Cc2ccccc2)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.5,vinyl_stereo,29100,,67803,2.33,,,155,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#Cc2ccccc2)cc1',)",260
C=Cc1ccc(C#Cc2ccccc2)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.6,vinyl_stereo,18100,,49413,2.73,,,155,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#Cc2ccccc2)cc1',)",261
C=Cc1ccc(C#Cc2ccccc2)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.7,vinyl_stereo,40600,,114898,2.83,,,158,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#Cc2ccccc2)cc1',)",262
C=Cc1ccc(C#Cc2ccccc2)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.8,vinyl_stereo,30900,,67803,1.31,,,157,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#Cc2ccccc2)cc1',)",263
C=Cc1ccc(C#Cc2ccccc2)cc1,0,[],"Zhang, Z., Dou, Y., Cai, Z., Liu, D., Li, S., & Cui, D. (2020). Syndioselective Coordination (Co)Polymerization of Alkyne-Substituted Styrenes Using Rare-Earth Metal Catalysts. Macromolecules, 53(14), 5895‚Äì5902. https://doi.org/10.1021/acs.macromol.0c01237",Table 1.9,vinyl_stereo,8800,,67803,1.28,,,159,,,,,,,,,,,,,,,,,"('C=Cc1ccc(C#Cc2ccccc2)cc1',)",264
C=Cc1ccc(Cl)cc1,0,[],"Wu, Y., Wang, Z., Liu, D., Liu, B., & Cui, D. (2020). Highly Syndioselective Coordination (Co)Polymerization of para-Chlorostyrene. Macromolecules, 53(19), 8333‚Äì8339. https://doi.org/10.1021/acs.macromol.0c01121",Table 1.1,vinyl_stereo,13500,,26055,1.93,,,118,324,,,,,,,,,,,,,,,,"('C=Cc1ccc(Cl)cc1',)",265
C=Cc1ccc(Cl)cc1,0,[],"Wu, Y., Wang, Z., Liu, D., Liu, B., & Cui, D. (2020). Highly Syndioselective Coordination (Co)Polymerization of para-Chlorostyrene. Macromolecules, 53(19), 8333‚Äì8339. https://doi.org/10.1021/acs.macromol.0c01121",Table 1.10,vinyl_stereo,112000,,240800,2.15,,,119,328,,,,,,,,,,,,,,,,"('C=Cc1ccc(Cl)cc1',)",266
C=Cc1ccc(Cl)cc1,0,[],"Wu, Y., Wang, Z., Liu, D., Liu, B., & Cui, D. (2020). Highly Syndioselective Coordination (Co)Polymerization of para-Chlorostyrene. Macromolecules, 53(19), 8333‚Äì8339. https://doi.org/10.1021/acs.macromol.0c01121",Table 1.11,vinyl_stereo,145000,,195750,1.35,,,128,327,,,,,,,,,,,,,,,,"('C=Cc1ccc(Cl)cc1',)",267
C=Cc1ccc(Cl)cc1,0,[],"Wu, Y., Wang, Z., Liu, D., Liu, B., & Cui, D. (2020). Highly Syndioselective Coordination (Co)Polymerization of para-Chlorostyrene. Macromolecules, 53(19), 8333‚Äì8339. https://doi.org/10.1021/acs.macromol.0c01121",Table 1.12,vinyl_stereo,147000,,164640,1.12,,,129,327,,,,,,,,,,,,,,,,"('C=Cc1ccc(Cl)cc1',)",268
C=Cc1ccc(Cl)cc1,0,[],"Wu, Y., Wang, Z., Liu, D., Liu, B., & Cui, D. (2020). Highly Syndioselective Coordination (Co)Polymerization of para-Chlorostyrene. Macromolecules, 53(19), 8333‚Äì8339. https://doi.org/10.1021/acs.macromol.0c01121",Table 1.13,vinyl_stereo,16800,,23184,1.38,,,118,328,,,,,,,,,,,,,,,,"('C=Cc1ccc(Cl)cc1',)",269
C=Cc1ccc(Cl)cc1,0,[],"Wu, Y., Wang, Z., Liu, D., Liu, B., & Cui, D. (2020). Highly Syndioselective Coordination (Co)Polymerization of para-Chlorostyrene. Macromolecules, 53(19), 8333‚Äì8339. https://doi.org/10.1021/acs.macromol.0c01121",Table 1.14,vinyl_stereo,165000,,333300,2.02,,,120,328,,,,,,,,,,,,,,,,"('C=Cc1ccc(Cl)cc1',)",270
